TTP ID;Phase;Technique Name;Description courte;Mitigations;;;
T1595;Reconnaissance;Active Scanning;Probing actif du réseau cible pour identifier services, ports ouverts et vulnérabilités.;Utiliser des firewalls/IPS pour bloquer le trafic de scan, limiter l’exposition des services, surveiller les logs de connexion et appliquer la segmentation réseau.;;;
T1592;Reconnaissance;Gather Victim Host Information;Collecte d’informations sur les systèmes d’un organe (OS, version, patchs).;Maintenir un inventaire à jour, appliquer les correctifs rapidement, désactiver les services inutiles et monitorer les requêtes d’inventaire.;;;
T1593;Reconnaissance;Search Open Technical Databases;Recherche d’informations publiques dans des bases techniques (ex. Shodan, Censys).;Masquer les bannières de services, restreindre les informations exposées, surveiller les requêtes provenant de sources externes.;;;
T1596;Reconnaissance;Search Open Websites/Domains;Collecte d’informations via sites web publics et DNS.;Utiliser des enregistrements DNS privés, limiter les informations WHOIS publiques et surveiller les requêtes DNS inhabituelles.;;;
T1591;Reconnaissance;Gather Victim Organization Information;Collecte d’informations sur l’organisation (structure, partenaires, employés).;Former le personnel à la sensibilisation, limiter la diffusion d’informations sensibles sur le web et appliquer le principe du moindre privilège aux comptes publics.;;;
T1590;Reconnaissance;Gather Victim Network Information;Cartographie du réseau cible (subnets, topologie).;Segmenter le réseau, masquer les routes internes et surveiller les scans de découverte de réseau.;;;
T1589;Reconnaissance;Gather Victim Identity Information;Collecte d’informations d’identité (nom, email, poste).;Utiliser la validation MFA, limiter la publication d’adresses e?mail et appliquer des politiques de divulgation contrôlée.;;;
T1583;Reconnaissance;Acquire Infrastructure;Acquisition de ressources (serveurs, domaines) pour préparer une attaque.;Mettre en place une surveillance des enregistrements WHOIS et des achats de domaines suspects, bloquer les services d’hébergement non approuvés.;;;
T1594;Reconnaissance;Search Victim-Owned Websites;Analyse de sites web appartenant à la cible pour extraire des données.;Restreindre l’accès aux pages d’administration, appliquer l’authentification forte et surveiller les accès anormaux.;;;
T1597;Reconnaissance;Search Closed Sources;Exploitation de sources fermées (forums privés, bases de données payantes).;Surveiller les fuites de données internes, appliquer la classification des informations et restreindre l’accès aux sources fermées.;;;
T1585;Reconnaissance;Establish Accounts;Création de comptes légitimes (ex. comptes cloud) avant l’attaque.;Appliquer le principe du moindre privilège, revue périodique des comptes et MFA obligatoire.;;;
T1586;Reconnaissance;Compromise Accounts;Vol d’identifiants ou compromission de comptes existants.;Déployer la détection d’anomalies d’authentification, MFA et rotation régulière des mots de passe.;;;
T1587;Reconnaissance;Develop Capabilities;Développement d’outils ou de code malveillant spécifique.;Contrôler les environnements de développement, appliquer la gestion des changements et scanner les artefacts pour code malveillant.;;;
T1588;Reconnaissance;Acquire Infrastructure;Acquisition d’infrastructures (C2, serveurs) pour l’opération.;Bloquer les résolutions DNS vers des IP suspectes, filtrer le trafic sortant et surveiller les enregistrements d’enregistrement de domaine.;;;
T1598;Reconnaissance;Phishing for Information;Utilisation de courriels de phishing pour récolter des renseignements.;Sensibilisation à la sécurité, filtres anti?phishing avancés et DMARC/DKIM/SPF correctement configurés.;;;
T1583;Resource Development;Acquire Infrastructure;Mise en place d’infrastructures (serveurs C2, domaines) pour soutenir l’attaque.;Utiliser des listes blanches d’IP, surveiller les achats de domaines et appliquer le contrôle d’accès aux services cloud.;;;
T1584;Resource Development;Compromise Infrastructure;Prise de contrôle d’infrastructures tierces (ex. serveurs compromis).;Déployer la surveillance d’intégrité des systèmes tiers, appliquer le principe du moindre privilège et segmenter les accès.;;;
T1585;Resource Development;Establish Accounts;Création de comptes sur des services tiers pour préparer l’attaque.;MFA obligatoire, revue régulière des comptes créés et limitation des droits accordés.;;;
T1586;Resource Development;Compromise Accounts;Vol ou détournement de comptes sur des services externes.;Détection d’anomalies d’accès, MFA et surveillance des changements de mot de passe.;;;
T1587;Resource Development;Develop Capabilities;Élaboration d’outils/malwares spécifiques à la campagne.;Contrôles de sécurité sur les dépôts de code, analyse statique/dynamique des binaires et restriction des outils de compilation.;;;
T1588;Resource Development;Acquire Capabilities;Achat ou vol de capacités (exploits, kits);Utiliser des listes blanches d’exploits autorisés, scanner les artefacts entrants et appliquer la gestion des vulnérabilités.;;;
T1608;Resource Development;Stage Capabilities;Pré?chargement de charges utiles sur l’infrastructure C2.;Limiter le stockage côté serveur aux fichiers nécessaires, appliquer le contrôle d’intégrité et la journalisation.;;;
T1654;Resource Development;Upload Malware;Téléversement de logiciels malveillants sur un serveur légitime.;Scanner les fichiers uploadés (AV/EDR), appliquer le principe du moindre privilège aux répertoires d’upload et filtrer les extensions.;;;
